Id,SalePrice
2658,163341.5711
2718,192766.9383
2414,200454.9064
1989,137713.9323
625,178981.2467
333,96882.50993
1327,127143.8702
858,148770.8787
95,177771.1379
1568,160873.4452
2482,156592.5129
1364,123281.7515
2584,175140.4955
818,245965.8078
2673,144177.0163
2089,109763.0683
1297,166593.3503
790,133375.5223
2616,191028.7163
720,194286.4593
222,130076.3201
557,132162.3867
1148,188445.1491
2766,185102.598
534,203456.589
1452,117255.855
630,120972.4118
2648,118492.8039
125,155040.2718
1904,53338.2074
1670,116074.1796
756,110974.6133
717,236183.1129
1032,149767.8273
852,227859.3815
1731,181366.0237
2639,124854.9363
2071,70682.36364
1267,118035.5922
1851,237711.6198
567,137988.4628
2439,216708.6217
1898,159742.0659
647,160054.9846
2256,199213.7894
979,100142.8426
1444,222516.7038
2485,114953.7015
157,124393.4729
88,123438.426
2003,120462.801
186,203541.79
1425,258665.1877
2695,115405.6737
738,106157.3397
395,150375.8403
1353,176645.9654
1878,148045.5091
390,183661.7952
1456,233228.8829
1103,320802.6103
1387,133856.4904
2070,142052.0817
1199,189326.0597
2479,181107.7755
501,320545.0264
2362,98262.02368
1718,208710.9332
2188,57620.83374
1483,130883.7162
2557,97938.9617
437,340677.0536
2224,236029.1171
1628,179688.4655
397,137323.8471
587,207901.2888
2182,532310.0366
971,136687.4806
2611,153840.592
1887,101687.8692
2399,346770.5592
2148,221847.9592
304,113715.6018
1997,119896.8653
2817,102542.9966
1431,208581.6539
427,358721.4992
263,124699.2347
598,179209.7516
2895,265805.2816
687,161988.0222
1822,120321.632
2191,95954.82792
179,138346.4038
1009,231731.1343
2010,124903.8305
1991,157001.5504
1411,159963.1977
1721,255212.7278
1144,194982.9319
593,224388.7334
575,274227.6903
1249,191001.7903
1604,112636.7338
1064,409016.797
1923,161405.9678
1988,101991.7517
2325,159328.8826
114,218281.1342
2700,210672.8845
217,135965.3962
343,188071.998
386,241304.3612
2005,118031.9185
2908,145564.2204
1814,226067.3472
2446,440324.0862
208,130602.3675
1679,123544.7802
822,293023.059
6,175611.4894
1781,357727.9767
2397,293691.374
2340,304353.5493
1618,168479.938
2843,168290.8049
1061,360914.2525
2786,128358.1578
1935,125227.175
1341,100515.2282
521,275156.05
2136,132826.0338
996,177636.2447
227,140508.1586
135,152593.1007
1167,145221.9487
294,247033.9644
1776,223922.4197
540,198097.8411
1717,208708.7585
2303,110975.7491
116,180111.171
127,134602.7297
1371,124472.2904
1014,211675.3934
1507,85602.39479
702,155709.9448
750,175031.2905
261,150444.8083
1559,73533.85479
577,258155.0782
2812,219216.6117
2080,158429.3896
1368,123418.375
2376,120218.7298
659,114721.1563
1235,131301.2461
332,88001.39063
1917,134269.2497
2094,243223.4284
1460,268421.932
1471,200111.4477
1509,119525.9709
1922,130181.9465
433,414459.2437
460,272741.7826
1116,243741.7719
1137,173368.3608
53,134558.443
2354,251166.8868
1475,220745.8468
1761,475260.5727
842,141528.4614
2739,179510.0595
2509,156126.8262
1007,216110.6558
2610,174484.7696
1952,92749.80947
2719,190036.4659
2921,97786.16124
1966,159250.2357
292,133053.9275
1204,209204.2364
1829,246611.2488
2419,194174.9262
391,169541.1298
798,123845.9031
481,191278.0893
193,196969.1193
555,123967.7898
899,47771.74488
2357,190666.2147
328,125912.7903
1356,127587.0074
1154,112468.1098
1730,180768.0518
2249,131280.2132
1119,252395.3964
2856,138495.2356
1394,150040.2137
2587,121716.4823
61,335222.511
2661,199987.1483
2711,132926.0073
1147,189778.6524
757,129513.2767
2623,100830.1751
2378,146485.3206
1413,144110.923
1722,239466.123
1112,226720.7449
1623,180618.2386
1201,198957.2338
1513,103278.0656
957,480976.0911
1171,226081.4193
1145,202920.9328
2726,262450.2866
703,147965.087
760,76372.55555
1964,142189.8714
2512,168878.9894
159,144297.3515
1281,170934.1815
468,182875.3938
290,133918.4981
665,115997.7666
1463,291764.7938
1792,236419.3466
923,186973.2303
500,295517.0298
1408,161742.35
331,94379.22747
170,112683.0597
2192,96624.66055
2571,311895.361
2314,165428.9289
2647,113119.9507
422,378713.5433
2457,317406.5829
1838,187406.069
2805,256487.6693
1645,178619.3251
1711,312156.5286
2825,249110.7604
322,333680.8775
2103,262728.6381
342,147272.1318
600,105834.9621
488,185653.9648
1725,316411.6475
2246,268506.5137
2847,157724.7032
806,239931.8629
530,238802.6664
963,199878.2041
2678,91191.93156
171,77476.48896
2401,405330.6333
805,218661.5145
2259,213268.3334
1748,181959.7152
1361,155400.009
1677,130217.5789
1406,146646.0897
2322,237963.5241
688,171972.8825
143,155481.2363
804,201027.4495
1214,172075.5515
2828,135176.0499
1999,189354.7984
2467,211450.8245
2665,172552.9019
1538,317197.1247
398,112684.9261
2822,146565.374
2157,130893.5025
1856,182348.7457
1269,107438.725
2570,131321.8929
2320,237564.0919
1517,150219.1996
2304,118021.4603
1312,81499.17027
2012,136513.8677
506,271935.3404
2865,226277.1895
2367,114582.5103
554,97672.28119
238,139417.5307
1954,117033.8607
2488,133728.2466
2291,100030.0664
1969,109521.0482
2725,181687.9545
1482,130883.7162
2763,210403.2093
503,268300.9349
1584,245713.0575
1531,180389.0734
2210,195601.2157
459,317510.7873
556,133283.7386
1347,165499.0269
1290,106311.0975
1388,116449.1798
1571,359011.3967
2754,213151.0284
765,120314.2989
2494,130976.4986
2870,222362.785
7,270083.3345
1114,243326.3657
2418,265398.9957
291,144707.8588
18,344003.2224
39,339428.8692
1001,294386.2897
2442,235048.9394
616,129579.3621
2680,61391.99064
1414,109717.9291
289,152697.7589
40,294951.5227
860,135406.4664
409,138457.3067
673,160159.9161
2427,135556.9601
2036,182913.4362
2564,146041.3916
642,177286.9296
1008,178066.4865
1908,145219.9302
2519,243649.7856
1369,87990.28037
2855,195698.4395
712,119380.9572
1943,113990.4453
1958,150751.7648
107,207521.6595
2295,197625.8972
704,119398.8954
676,144094.1411
259,181666.0984
93,299453.0698
106,237360.9772
2315,180122.5918
1050,119037.7775
1095,199030.7489
2709,139140.5086
758,163977.3292
1496,150571.1411
2370,129989.2326
2458,256335.0262
2733,135359.1024
161,265578.249
726,156253.4114
845,221681.1473
947,262922.0816
2232,118059.4499
2563,148802.6721
2299,167009.5461
211,123856.7984
605,175981.7743
1478,221397.8224
2247,247843.5601
2274,235616.0468
2869,218793.8691
967,239233.1897
2656,110692.4616
667,229161.6928
1042,115624.3432
2023,171077.2585
2447,352877.9952
2055,127758.9079
2275,282989.7484
2204,181856.7818
1563,266488.3653
483,224013.2673
796,114286.1778
1526,180299.7905
2042,162275.7242
442,339377.8975
1693,321949.8075
1468,219156.2826
1430,208576.4165
2605,176417.8505
1529,207691.0979
335,145138.1429
1287,139824.5709
31,106034.1992
1785,288247.8623
82,157215.6342
2620,124098.0709
252,201843.2502
721,75583.42379
2165,197747.2551
2316,168915.454
775,130026.5041
1558,111107.7624
17,209930.8205
1022,247504.4817
925,133982.829
438,306007.9343
1270,167855.5484
1272,143023.6986
215,134673.1574
266,223432.1929
2402,288725.6462
1250,131316.74
1984,132962.7235
1279,150566.7181
377,248344.7708
1252,143395.1581
2156,253372.412
499,317728.453
1374,131316.6325
2898,271277.4199
401,116041.5549
2721,176134.0058
2078,253869.6813
2589,133499.2556
1946,244814.4023
1334,110144.2204
2781,242200.9116
431,390471.1688
576,242101.1639
1474,213331.3466
2254,141082.15
2155,270529.5722
885,86325.37446
643,148802.3075
1944,121370.4892
480,200693.9239
2845,82399.71641
2387,320899.5171
2407,226134.557
2527,167187.7007
2514,140458.9065
629,187512.8117
80,206999.8083
1876,156642.7437
1546,108037.5749
2518,187844.5528
2347,163468.715
783,209886.3466
1322,58400.42969
194,90916.95351
1770,302272.001
2143,124844.7371
1229,196854.801
511,268134.5634
46,225208.1952
1348,190470.5959
2465,209550.0383
387,237285.9677
873,215112.5511
1918,126233.2572
2764,229484.4883
2184,124432.5325
934,134857.0527
1920,132154.1526
2631,149068.2953
1768,483625.5655
2040,114078.0126
1749,220949.5952
834,259103.3568
1457,247562.8726
79,98375.52602
2302,106925.838
1817,125937.1222
2755,247363.1931
359,160325.7865
2059,115812.3757
2092,235450.245
2516,266704.2415
150,131866.7971
1656,164522.5896
83,108161.8623
2411,192212.4111
795,75545.9196
2312,228827.836
2917,108607.2677
1624,188175.6811
2215,302292.4507
1211,153927.0092
1485,130896.7646
1024,170872.9061
570,168840.671
2874,132847.4206
700,167314.8058
2756,231411.7277
2022,191434.9454
583,214818.0081
2392,346309.294
2424,153301.6631
212,112141.7679
736,119111.3528
1610,160835.0609
890,121460.3214
467,181242.5627
578,248916.2273
1747,188440.6348
1149,157311.2064
2758,243632.3258
857,131842.5533
2219,288045.2839
733,108446.6305
2909,119059.4861
1798,263628.2407
235,121770.6132
2366,132144.06
1027,139164.2165
1195,140832.0784
1303,39710.87652
148,180429.4268
608,156628.4568
2515,205421.2835
821,260418.8384
2500,305618.6554
745,123922.2888
741,144566.31
1611,174778.5216
2532,130805.3588
1081,162811.5397
1692,406583.6293
2520,228633.176
276,128607.3227
1992,123446.5627
663,36675.25327
418,136888.5791
1733,189754.1553
2359,159485.9191
253,207316.4527
1518,173654.7608
2035,136752.1921
2919,89393.32042
1540,227488.1821
2120,158965.0683
1674,180410.8651
256,169525.3967
2361,116825.1455
978,101907.0445
2280,114907.9926
2095,221335.6218
1709,322054.3112
2801,227578.2751
1246,119393.6266
2373,114506.7245
1055,298633.4809
2017,118497.8252
1099,293581.7334
1344,89586.77641
835,230783.4402
1117,229186.0758
2043,88755.46082
2085,117338.6428
410,147763.7562
2650,124357.8611
2867,190021.0202
1668,127578.1467
1161,163297.1756
2122,188593.658
2539,156374.1306
1047,146697.6085
1445,125964.6554
541,143310.6962
569,204319.9098
1276,129254.9359
918,154601.6569
326,169240.7944
1936,117713.8307
895,91465.38609
257,144211.8737
1241,187922.5757
1545,110298.6317
1189,184789.0236
270,129984.4144
2066,191089.1616
693,105958.8933
1259,163531.5718
2916,146025.9667
2321,268469.1459
1977,111245.1401
1895,168248.9628
1240,170816.0728
85,142613.088
1823,121319.9161
825,267653.6276
110,227197.8024
697,108238.2526
2297,95365.2391
1231,140872.6372
1355,143874.8962
968,314030.1163
584,216437.9597
1315,127743.0246
1606,120038.899
206,80577.61567
1685,335701.0636
2016,128853.1902
869,226741.1415
2135,127527.1046
2346,182577.8116
2430,165862.159
2198,96719.65974
2652,127892.8967
27,115924.3429
241,176168.8582
906,127576.7104
1506,91734.93784
2098,314149.881
1435,204767.9346
2213,142338.2789
1274,145492.2687
743,12826.78275
1737,206257.6041
2797,261213.5145
2185,50674.31343
58,165749.9091
830,207590.2687
808,105197.6553
680,159580.0579
1153,109474.0183
1291,151935.639
1818,139263.0689
2161,200967.1566
1883,144754.8268
350,354108.1253
2473,159664.0481
295,195130.7562
293,187742.8759
859,125486.8261
288,71064.12641
1578,159878.5048
102,156203.9453
2831,157617.729
1030,185736.6625
2551,150104.018
1286,141213.0818
958,288304.8657
776,126486.2964
72,214221.1809
2263,264872.2387
1866,151967.2962
2876,74787.75214
2146,263890.6874
103,163607.8186
1500,134276.7481
492,194520.0943
167,157069.3933
2597,123202.048
2685,114856.7353
1035,152313.6131
1220,61734.53664
2602,155438.5969
2159,220541.39
695,150485.8119
1109,274183.7591
640,196951.8057
1652,157380.6072
2090,203681.0805
1188,206078.3312
2345,229403.4021
1059,369193.81
2751,246379.4636
128,212816.2086
1523,166251.9678
2925,150287.1692
2145,309343.5267
1121,234882.785
566,267269.4921
565,248948.9826
1331,148294.0211
2928,117330.6517
156,138537.8172
797,139965.5163
327,97423.49938
2859,179423.6045
1453,110994.0113
1762,337058.0409
1868,202696.7119
1760,179094.4461
1113,259987.2512
1812,199355.5436
117,175671.2763
1142,197374.5121
2342,368371.9464
927,174642.8994
2478,194240.564
655,95212.54421
2064,120628.7466
369,285141.9878
2239,134914.3576
2732,198879.0084
1653,174502.7161
959,221522.2173
2395,333675.0184
1412,86382.83258
271,250922.9291
1484,130896.7646
1497,138774.8416
552,146443.6548
2,132777.9148
1855,277223.138
4,274193.8504
2292,144572.567
134,139237.8775
646,125150.0309
42,312617.2152
532,233236.9158
713,103317.9667
2561,134469.0077
2360,146084.3972
1333,114030.6756
1407,237302.3424
2892,297533.1845
574,200155.6066
1227,167733.3629
2591,252263.0212
1476,219050.2831
1125,252346.0292
1446,139895.6858
408,140093.5098
1101,303775.9836
2251,185922.7094
373,202640.1361
2554,136706.4884
2382,303939.3257
1985,84106.07119
519,250828.7565
1093,186475.2523
864,259432.1527
2889,122750.9647
2308,204963.3808
986,142527.1024
1302,164346.3128
585,160579.0706
2708,140137.4091
147,151332.7919
1441,228508.4817
383,173237.0857
285,149116.1843
181,126049.2388
358,183403.4033
780,201758.5371
258,197323.183
1865,214501.8377
692,128777.4543
2902,299223.3395
508,272869.4895
2638,165589.6699
36,145136.913
611,186034.3972
2281,131685.6213
1678,130400.2559
1696,399095.8085
1557,56355.44647
2180,151488.6963
1726,246196.1049
951,132342.8337
267,236331.9409
2706,136939.2845
2221,247651.8045
1357,175257.169
2901,289931.1214
347,173470.7679
2164,203958.1517
1586,290861.7386
360,160493.802
1769,272696.0447
2617,159662.4111
1879,164376.6359
991,229346.4432
1535,150475.0036
1191,168845.5735
1579,227672.8967
1882,149781.3323
1510,132133.7792
2196,158414.501
1845,156614.5035
2336,371521.1063
942,92658.59464
861,120096.1296
2555,114343.7611
1392,156953.5955
2099,261579.295
1543,125072.7515
948,244491.7892
1239,158915.0161
22,179215.7503
2796,246630.0369
2747,187086.5377
92,305140.9026
210,198127.1622
1858,242923.0855
2228,174337.1941
447,269082.3308
827,237381.4952
1649,202923.4572
682,155180.5622
2698,121904.8897
494,166135.9355
214,110369.6355
2441,250207.3681
2679,126278.4707
1336,118278.2255
465,191000.5414
1524,157044.1879
2543,125504.7109
631,149753.0208
2452,314771.1929
228,153714.3613
126,155157.5129
1092,226004.8429
1122,220192.2994
932,230102.3331
1980,84360.75277
2171,111221.0532
551,155779.7663
2768,206557.3608
2056,117754.7886
1159,354447.0049
2645,156831.7321
1174,153678.5719
2266,225662.563
2462,333479.2928
1219,139443.7661
2922,181488.3988
118,151630.2814
474,133417.7494
2576,174523.2848
872,265089.7699
1077,247092.9378
1536,175855.1859
1150,127442.2629
2341,325480.493
1931,131342.8746
2785,126336.4611
2538,136033.096
597,218117.374
464,203121.9127
233,254804.9968
2169,121634.5674
2123,160743.0229
1867,174393.8411
137,261845.1556
515,217455.0012
933,124184.8808
2784,168710.3789
972,131640.3366
599,188867.0992
2614,135727.6281
2582,125277.9639
1409,162830.6932
175,112704.1856
352,266166.9142
