calories,category,fat,carbs,name,restaurant
130,Kid's Meals,8,14,Pepper Pals® Side Salad w/ Low Fat Ranch,Chili's
1990,Ribs,111,137,Memphis Dry Rub Ribs,Chili's
1670,Sandwiches,85,172,BBQ Pulled Pork Sandwich on White Bun with fries,Chili's
680,Sandwiches,36,68,Grilled Ham & Swiss Sandwich w/ Fries (Lunch Combo),Chili's
290,Sides,7,48,Add Rice and Black Beans,Chili's
80,Sides,6,0,"Cheese, Provolone",Chili's
70,Sides,0,11,"Dressing, Honey Mustard No Fat",Chili's
190,Sides,7,30,Rice,Chili's
400,Soups,25,23,Chicken Enchilada,Chili's
1500,Tacos,68,174,Crispy Shrimp Tacos,Chili's
15,Sides,0,3,Green Tomatillo Salsa,Chipotle Mexican Grill
120,Sides,10,2,Sour Cream,Chipotle Mexican Grill
5,Sides,0,1,Fresh Tomato Salsa,Chipotle Mexican Grill
35,Sides,3,0,Cheese (taco),Chipotle Mexican Grill
120,Sides,1,22,Pinto Beans,Chipotle Mexican Grill
190,Entrees,8,1,Carnitas,Chipotle Mexican Grill
570,Sides,27,73,Chips,Chipotle Mexican Grill
60,Entrees,2,0,Chicken,Chipotle Mexican Grill
140,Sides,7,18,Chips,Chipotle Mexican Grill
40,Sides,1,8,Red Tomatillo Salsa,Chipotle Mexican Grill
5,Sides,0,1,Green Tomatillo Salsa,Chipotle Mexican Grill
60,Tortillas,2,9,Crispy Taco Shell,Chipotle Mexican Grill
150,Sides,13,8,Guacamole,Chipotle Mexican Grill
170,Entrees,7,2,Barbacoa,Chipotle Mexican Grill
20,Sides,0,4,Fresh Tomato Salsa,Chipotle Mexican Grill
5,Sides,0,1,Fajita Vegetables,Chipotle Mexican Grill
60,Entrees,2,1,Steak,Chipotle Mexican Grill
290,Tortillas,9,44,Flour Tortilla (burrito),Chipotle Mexican Grill
130,Sides,3,23,Cilantro-Lime Rice,Chipotle Mexican Grill
10,Sides,0,2,Romaine Lettuce (salad),Chipotle Mexican Grill
120,Sides,1,23,Black Beans,Chipotle Mexican Grill
5,Sides,0,1,Romaine Lettuce (tacos),Chipotle Mexican Grill
60,Tortillas,2,9,Crispy Taco Shell,Chipotle Mexican Grill
5,Sides,0,1,Romaine Lettuce (taco),Chipotle Mexican Grill
40,Sides,1,8,Cilantro-Lime Rice (taco),Chipotle Mexican Grill
110,Chicken,6,3,Original Leg ,Church's
95,Wings,5,18,Boneless Wing - with Sauce ,Church's
190,Seafood,10,14,Fish Fillet (1) ,Church's
250,Sides,12,30,Sweet Corn Nuggets (8) ,Church's
360,Drinks,0,90,Sweet Tea - Large ,Church's
480,Chicken,35,20,Spicy Thigh ,Church's
450,Sandwiches,16,50,Southern Style Chicken Sandwich ,Church's
5,Sides,0,1,Jalapeño Pepper ,Church's
140,Sides,12,37,Red Beans & Rice ,Church's
180,Chicken,11,8,Spicy Leg ,Church's
740,Sandwiches,38,63,Double Chicken N Cheese Sandwich ,Church's
140,Sides,3,24,Corn ,Church's
190,Sides,7,24,Macaroni & Cheese ,Church's
200,Chicken,11,3,Original Breast ,Church's
360,Sandwiches,18,35,Spicy Chicken Sandwich ,Church's
240,Sides,12,28,Honey-Butter Biscuit ,Church's
160,Sides,8,20,Jalapeño Cheese Bombers® (4) ,Church's
0,Drinks,0,0,Unsweet Tea - Medium ,Church's
430,Chicken,27,17,Spicy Wing ,Church's
500,Sandwiches,26,48,Chicken Sandwich with Cheese ,Church's
110,Sides,2,21,Mashed Potatoes & Gravy ,Church's
130,Sides,7,16,Cajun Rice ,Church's
0,Drinks,0,0,Unsweet Tea - Large ,Church's
330,Chicken,23,8,Original Thigh ,Church's
360,Sandwiches,18,35,Original Chicken Sandwich ,Church's
840,Seafood,42,54,Livers (6) ,Church's
140,Sides,6,19,French Fries ,Church's
0,Drinks,0,0,Unsweet Tea - Small ,Church's
300,Chicken,18,7,Original Wing ,Church's
80,Wings,5,15,Boneless Wing - without Sauce ,Church's
470,Entrees,28,36,Chicken Fried Steak ,Church's
35,Sides,0,7,Green Beans ,Church's
270,Drinks,0,68,Sweet Tea - Medium ,Church's
320,Chicken,20,12,Spicy Breast ,Church's
550,Sandwiches,27,50,Spicy Southern Style Chicken Sandwich ,Church's
150,Sides,10,15,Cole Slaw ,Church's
220,Desserts,8,35,Apple Pie ,Church's
120,Chicken,6,6,Tender Strips™ ,Church's
160,Chicken,7,13,Nuggets (5) ,Church's
170,Sides,11,17,Okra ,Church's
500,Desserts,14,95,Strawberry Shortcake ,Church's
140,Chicken,7,7,Spicy Tender Strips™ ,Church's
280,Seafood,12,24,Shrimp (8) ,Church's
35,Sides,0,7,Collard Greens ,Church's
190,Drinks,0,48,Sweet Tea - Small ,Church's
680,Breakfast Sandwiches,44,43,The Commuter Croissant (Whole Eggs),Corner Bakery Cafe
110,Breakfast,110,110,"Bacon, 3-slices - G",Corner Bakery Cafe
25,Breakfast,25,25,"Oatmeal Toppings - Dried Cranberries - LF, VG, G",Corner Bakery Cafe
1040,Breakfast,31,144,Baked French Toast w/Sausage & Scrambled Eggs (Egg Whites),Corner Bakery Cafe
650,Breakfast,24,96,Cinnamon Roll - V,Corner Bakery Cafe
300,Salads,19,23,The Greek Salad - G (Café & Combo),Corner Bakery Cafe
580,Breakfast,46,10,Anaheim Scrambler - G (Whole Eggs),Corner Bakery Cafe
490,Breakfast Sandwiches,490,490,Ham & Swiss Panini (Whole Eggs),Corner Bakery Cafe
70,Breakfast,70,70,"Seasonal Fruit Medley - LF, VG, G",Corner Bakery Cafe
390,Breakfast,390,390,"Oatmeal Toppings - Fresh Berry & Yogurt Parfait - LF, V",Corner Bakery Cafe
330,Breakfast,2,72,"Cinnamon Raisin Bagel - LF, VG",Corner Bakery Cafe
530,Breakfast,26,67,Banana Muffin - V,Corner Bakery Cafe
420,Salads,32,13,Caesar Salad w/Roasted Chicken (Café & Combo),Corner Bakery Cafe
790,Salads,57,33,Chopped Salad - G (Entrée),Corner Bakery Cafe
230,Salads,20,8,Caesar Salad (side & trio portion),Corner Bakery Cafe
140,Salads,8,12,Asian Edamame Salad - V (Side),Corner Bakery Cafe
400,Salads,29,3,Tuna Salad - G (Side),Corner Bakery Cafe
210,Soups,4,36,"Three Lentil Vegetable - LF, V, G  (bowl)",Corner Bakery Cafe
640,Entrees,34,55,Pesto Cavatappi (Combo),Corner Bakery Cafe
410,Breakfast,27,13,"Farmer's Scrambler - V, G (Whole Eggs)",Corner Bakery Cafe
600,Breakfast Sandwiches,600,600,The Commuter Croissant (Egg Whites),Corner Bakery Cafe
360,Breakfast,360,360,"Swiss Oatmeal - LF, V, G* (Sweet Crisp not included)",Corner Bakery Cafe
1030,Breakfast,39,154,Baked French Toast w/Bacon & Fresh Fruit,Corner Bakery Cafe
510,Breakfast,22,70,Blueberry Muffin - V,Corner Bakery Cafe
400,Salads,28,18,Chopped Salad - G (Café & Combo),Corner Bakery Cafe
760,Salads,45,72,Harvest Salad - V (Entrée),Corner Bakery Cafe
120,Salads,8,9,Mixed Greens Salad w/dressing (side & trio portion) - V,Corner Bakery Cafe
280,Salads,20,4,Avocado Wedge - VG (Side),Corner Bakery Cafe
390,Soups,18,29,Big Al's Chili w/Cheddar Cheese (cup),Corner Bakery Cafe
30,Entrees,2,0,Parmesan Cheese (Carbonara & Penne) - V (Combo),Corner Bakery Cafe
550,Breakfast Sandwiches,32,39,Anaheim Panini (Whole Eggs),Corner Bakery Cafe
140,Breakfast,140,140,"Breakfast Potatoes - VG, G",Corner Bakery Cafe
35,Breakfast,35,35,"Oatmeal Toppings - Toasted Almonds - VG, G",Corner Bakery Cafe
850,Breakfast,28,138,Baked French Toast - V,Corner Bakery Cafe
1020,Breakfast,62,107,Pecan Sticky Bun,Corner Bakery Cafe
530,Salads,16,63,Asian Wonton Salad (Entrée),Corner Bakery Cafe
140,Salads,7,12,Pasta Caprese Salad - V (Trio),Corner Bakery Cafe
200,Soups,7,30,"Roasted Tomato Basil w/Croutons - LF, V",Corner Bakery Cafe
630,Soups,43,36,Loaded Baked Potato w/Cheddar Cheese & Green Onion,Corner Bakery Cafe
680,Entrees,33,62,Chicken Carbonara - (Combo),Corner Bakery Cafe
310,Sandwiches,11,40,D.C. Chicken Salad on Steakhouse Rye Bread - (Combo),Corner Bakery Cafe
620,Sandwiches,21,79,D.C. Chicken Salad on Steakhouse Rye Bread - (Whole),Corner Bakery Cafe
250,Sandwiches,13,24,Mom's Egg Salad on White Bread (Combo),Corner Bakery Cafe
250,Breakfast,11,12,"Farmer's Scrambler - V, G (Egg Whites)",Corner Bakery Cafe
410,Breakfast Sandwiches,410,410,Ham & Swiss Panini (Egg Whites),Corner Bakery Cafe
35,Breakfast,35,35,"Oatmeal Toppings - Currants - LF, VG, G",Corner Bakery Cafe
1200,Breakfast,48,145,Baked French Toast w/Sausage & Scrambled Eggs (Whole Eggs),Corner Bakery Cafe
330,Breakfast,2,69,"Plain Bagel - LF, VG",Corner Bakery Cafe
340,Breakfast,16,39,Croissant - V,Corner Bakery Cafe
420,Salads,25,25,Santa Fe Ranch Salad - G (Café & Combo),Corner Bakery Cafe
530,Salads,35,39,The Greek Salad - G (Entrée),Corner Bakery Cafe
230,Salads,19,3,"Egg Salad - V, G (Trio)",Corner Bakery Cafe
410,Soups,28,23,Loaded Baked Potato w/Cheddar Cheese & Green Onion,Corner Bakery Cafe
210,Soups,6,28,Mom's Chicken Noodle - LF  (bowl),Corner Bakery Cafe
230,Salads,20,8,Caesar Salad,Corner Bakery Cafe
350,Breakfast,27,3,All American Scrambler (with Bacon) - G (Whole Eggs),Corner Bakery Cafe
540,Breakfast Sandwiches,24,38,Chicken Apple Sausage Panini (Whole Eggs),Corner Bakery Cafe
110,Breakfast,110,110,"Chicken Apple Sausage, 2-patties",Corner Bakery Cafe
50,Breakfast,50,50,"Oatmeal Toppings - Toasted Walnuts - VG, G",Corner Bakery Cafe
330,Breakfast,2,72,"8-Grain Bagel - LF, VG",Corner Bakery Cafe
270,Salads,8,33,Asian Wonton Salad (Café & Combo),Corner Bakery Cafe
710,Salads,63,21,Caesar Salad (Entrée),Corner Bakery Cafe
70,Salads,0,16,"Seasonal Fruit Medley - LF, VG, G (Trio)",Corner Bakery Cafe
210,Salads,10,18,Pasta Caprese Salad - V (Side),Corner Bakery Cafe
280,Soups,13,26,Italian Wedding Soup w/ Parmesan Cheese  (bowl),Corner Bakery Cafe
330,Entrees,13,37,Half Moon Cheese Ravioli - V (Combo),Corner Bakery Cafe
340,Sandwiches,10,43,Ham on Pretzel Bread - LF (Combo),Corner Bakery Cafe
680,Sandwiches,20,85,Ham on Pretzel Bread - LF (Whole),Corner Bakery Cafe
255,Sandwiches,4,35,Mom's Roast Beef on Sourdough Bread (Combo),Corner Bakery Cafe
480,Sandwiches,4,75,Mom's Corned Beef on Caraway Rye Bread (Whole),Corner Bakery Cafe
380,Paninis,18,39,Corned Beef Reuben (Combo),Corner Bakery Cafe
350,Breakfast,20,7,All American Scrambler (with Sausage) (Whole Eggs),Corner Bakery Cafe
540,Breakfast Sandwiches,32,35,Smoked Bacon & Cheddar Panini (Whole Eggs),Corner Bakery Cafe
170,Breakfast,170,170,"Harvest Toast - LF, VG",Corner Bakery Cafe
150,Breakfast,150,150,"Oatmeal Toppings - Sweet Crisp, each - V",Corner Bakery Cafe
340,Breakfast,2,73,"Blueberry Bagel - LF, VG",Corner Bakery Cafe
360,Salads,31,12,Caesar Salad (Café & Combo),Corner Bakery Cafe
820,Salads,65,23,Caesar Salad w/Roasted Chicken (Entrée),Corner Bakery Cafe
280,Salads,20,2,Tuna Salad - G (Trio),Corner Bakery Cafe
100,Salads,0,26,"Seasonal Fruit Medley - LF, VG, G (Side)",Corner Bakery Cafe
320,Soups,12,48,"Roasted Tomato Basil w/Croutons - LF, V",Corner Bakery Cafe
330,Entrees,8,53,"Penne with Marinara - V, LF (Combo)",Corner Bakery Cafe
415,Sandwiches,20,37,Poblano Fresco Chicken on Poblano Cheese Bread - (Combo),Corner Bakery Cafe
830,Sandwiches,39,74,Poblano Fresco Chicken on Poblano Cheese Bread - (Whole),Corner Bakery Cafe
250,Sandwiches,4,32,Mom's Roasted Chicken on Harvest Bread (Combo),Corner Bakery Cafe
110,Kid's Meals,5,12,Zesty Chicken Tortilla - LF,Corner Bakery Cafe
190,Breakfast,3,6,All American Scrambler (with Sausage) (Egg Whites),Corner Bakery Cafe
460,Breakfast Sandwiches,460,460,Chicken Apple Sausage Panini (Egg Whites),Corner Bakery Cafe
330,Breakfast,330,330,"Oatmeal w/all toppings - LF, V, G* (Sweet Crisp not included)",Corner Bakery Cafe
1040,Breakfast,39,140,Baked French Toast w/Bacon & Scrambled Eggs (Egg Whites),Corner Bakery Cafe
650,Breakfast,30,90,Cinnamon Crumb Muffin - V,Corner Bakery Cafe
500,Salads,26,37,Harvest Salad w/Roasted Chicken (Café & Combo),Corner Bakery Cafe
420,Salads,33,26,Mixed Greens Salad - V (Entrée),Corner Bakery Cafe
150,Salads,10,2,Avocado Wedge - VG (Trio),Corner Bakery Cafe
340,Salads,27,5,"Egg Salad - V, G (Side)",Corner Bakery Cafe
140,Soups,4,19,Mom's Chicken Noodle - LF  (cup),Corner Bakery Cafe
590,Soups,28,44,Big Al's Chili w/Cheddar Cheese (bowl),Corner Bakery Cafe
640,Entrees,26,73,Half Moon Cheese Ravioli - V (Entrée),Corner Bakery Cafe
340,Sandwiches,14,39,Tomato Mozzarella on Ciabatta Ficelle Bread - V (Combo),Corner Bakery Cafe
680,Sandwiches,27,74,Tomato Mozzarella on Ciabatta Ficelle Bread - V (Whole),Corner Bakery Cafe
640,Sandwiches,25,66,Mom's Tuna Salad on Harvest Bread (Whole),Corner Bakery Cafe
730,Paninis,31,71,Corner Club (Whole),Corner Bakery Cafe
300,Kid's Meals,6,53,Pasta Marinara - V,Corner Bakery Cafe
190,Breakfast,11,2,All American Scrambler (with Bacon) - G (Egg Whites),Corner Bakery Cafe
470,Breakfast Sandwiches,470,470,Anaheim Panini (Egg Whites),Corner Bakery Cafe
140,Breakfast,140,140,"Oatmeal w/out toppings - LF, V, G* (Sweet Crisp not included)",Corner Bakery Cafe
1200,Breakfast,55,141,Baked French Toast w/Bacon & Scrambled Eggs (Whole Eggs),Corner Bakery Cafe
530,Breakfast,28,62,Chocolate Muffin - V,Corner Bakery Cafe
430,Salads,25,36,Harvest Salad - V (Café & Combo),Corner Bakery Cafe
870,Salads,47,74,Harvest Salad w/Roasted Chicken (Entrée),Corner Bakery Cafe
90,Salads,5,8,Asian Edamame Salad - V (Trio),Corner Bakery Cafe
360,Salads,21,22,D.C. Chicken Salad - G (Side),Corner Bakery Cafe
370,Soups,28,19,Cheddar Broccoli  (cup),Corner Bakery Cafe
1040,Soups,3,213,Country Bread Boule - Bowl Option  (cup),Corner Bakery Cafe
1190,Entrees,62,99,Chicken Carbonara - (Entrée),Corner Bakery Cafe
360,Sandwiches,19,28,Smoked Turkey Cobb - (Combo),Corner Bakery Cafe
720,Sandwiches,38,56,Smoked Turkey Cobb - (Whole),Corner Bakery Cafe
410,Sandwiches,11,46,Mom's Smoked Ham on White Bread (Whole),Corner Bakery Cafe
740,Paninis,28,70,Chicken Pomodori (Whole),Corner Bakery Cafe
350,Kid's Meals,11,48,Macaroni & Cheese - Kraft,Corner Bakery Cafe
70,Kid's Meals,2,9,Mom's Chicken Noodle - LF,Corner Bakery Cafe
410,Breakfast,29,8,Anaheim Scrambler - G (Egg Whites),Corner Bakery Cafe
460,Breakfast Sandwiches,460,460,Smoked Bacon & Cheddar Panini (Egg Whites),Corner Bakery Cafe
45,Breakfast,45,45,"Oatmeal Toppings - Brown Sugar - LF, VG, G",Corner Bakery Cafe
1030,Breakfast,31,158,Baked French Toast w/Sausage & Fresh Fruit,Corner Bakery Cafe
460,Breakfast,18,69,Pumpkin Muffin - V,Corner Bakery Cafe
220,Salads,17,13,Mixed Greens Salad - V (Café & Combo),Corner Bakery Cafe
810,Salads,49,45,Santa Fe Ranch Salad - G (Entrée),Corner Bakery Cafe
240,Salads,14,15,D.C. Chicken Salad - G (Trio),Corner Bakery Cafe
230,Soups,11,26,"Zesty Chicken Tortilla w/Tortilla Strips - LF, G  (cup)",Corner Bakery Cafe
550,Soups,41,28,Cheddar Broccoli  (bowl),Corner Bakery Cafe
560,Entrees,15,89,"Penne with Marinara - V, LF (Entrée)",Corner Bakery Cafe
335,Sandwiches,8,43,Turkey on Pretzel Bread - LF,Corner Bakery Cafe
670,Sandwiches,15,87,Turkey on Pretzel Bread - LF,Corner Bakery Cafe
470,Sandwiches,5,66,Mom's Turkey on Harvest Bread (Whole),Corner Bakery Cafe
760,Paninis,37,78,Corned Beef Reuben (Whole),Corner Bakery Cafe
440,Kid's Meals,20,49,Pasta w/ Cream Sauce,Corner Bakery Cafe
365,Kid's Meals,17,47,Peanut Butter & Jelly Sandwich - V (Combo),Corner Bakery Cafe
540,Kid's Meals,30,42,Grilled Cheese Sandwich - V (Whole),Corner Bakery Cafe
210,Kid's Meals,14,12,Loaded Baked Potato,Corner Bakery Cafe
60,Salads,3,6,"Greek Vegetable Salad - V, G (Trio)",Corner Bakery Cafe
190,Soups,8,18,Italian Wedding Soup w/ Parmesan Cheese  (cup),Corner Bakery Cafe
360,Soups,16,40,"Zesty Chicken Tortilla w/Tortilla Strips - LF, G  (bowl)",Corner Bakery Cafe
120,Salads,8,9,Mixed Greens Salad w/dressing - V,Corner Bakery Cafe
340,Sandwiches,12,37,Chicken Carbonara - (Combo),Corner Bakery Cafe
680,Sandwiches,24,74,Chicken Carbonara - (Whole),Corner Bakery Cafe
240,Sandwiches,2,37,Mom's Corned Beef on Caraway Rye Bread (Combo),Corner Bakery Cafe
40,Sandwiches,4,1,Add Spread - Mayo (Combo),Corner Bakery Cafe
370,Paninis,14,35,Chicken Pomodori (Combo),Corner Bakery Cafe
680,Paninis,22,70,Grilled Ham & Swiss (Whole),Corner Bakery Cafe
410,Kid's Meals,7,60,Ham Sandwich on Harvest Bread - LF (Whole),Corner Bakery Cafe
80,Kid's Meals,2,13,"Roasted Tomato Basil - LF, V",Corner Bakery Cafe
620,Desserts,30,81,Banana Baby Bundt Cake - V,Corner Bakery Cafe
290,Desserts,10,47,Oatmeal Raisin Cookie - V,Corner Bakery Cafe
530,Desserts,24,72,Raspberry Bar - V,Corner Bakery Cafe
490,Coffee,13,81,Caramel Latte - Whole,Corner Bakery Cafe
120,Coffee,0,17,Cappuccino - Nonfat,Corner Bakery Cafe
270,Coffee,15,20,Chai Latte - Whole,Corner Bakery Cafe
2600,Breads,8,532,Country Small Oblong - VG (whole),Corner Bakery Cafe
410,Breads,13,60,Poblano Cheese Batard - V,Corner Bakery Cafe
1140,Entrees,64,88,Pesto Cavatappi (Entrée),Corner Bakery Cafe
330,Sandwiches,12,35,Uptown Turkey on Harvest Bread - (Combo),Corner Bakery Cafe
660,Sandwiches,23,70,Uptown Turkey on Harvest Bread - (Whole),Corner Bakery Cafe
305,Paninis,13,32,California Grille - V (Combo),Corner Bakery Cafe
740,Paninis,27,72,Green Chile & Chicken (Whole),Corner Bakery Cafe
290,Kid's Meals,17,21,Grilled Cheese Sandwich - V (Combo),Corner Bakery Cafe
405,Kid's Meals,16,56,Peanut Butter & Jelly Sandwich on Harvest Bread - V (Combo),Corner Bakery Cafe
330,Kid's Meals,9,42,Ham Sandwich - LF (Whole),Corner Bakery Cafe
100,Kid's Meals,4,9,Italian Wedding Soup,Corner Bakery Cafe
70,Sides,0,16,"Seasonal Fruit Medley - LF, VG, G",Corner Bakery Cafe
340,Desserts,14,51,Monster Cookie - V,Corner Bakery Cafe
730,Desserts,44,80,Maple Pecan Bar - V,Corner Bakery Cafe
380,Coffee,11,61,Caramel Latte - Whole,Corner Bakery Cafe
90,Coffee,0,12,Cappuccino - Nonfat,Corner Bakery Cafe
200,Coffee,11,15,Chai Latte - Whole,Corner Bakery Cafe
1040,Breads,3,213,Country Boule - VG (whole),Corner Bakery Cafe
360,Breads,6,65,Ciabatta Ficelle - V,Corner Bakery Cafe
425,Sandwiches,21,36,Poblano Fresco Roast Beef on Poblano Cheese Bread - (Combo),Corner Bakery Cafe
850,Sandwiches,42,72,Poblano Fresco Roast Beef on Poblano Cheese Bread - (Whole),Corner Bakery Cafe
205,Sandwiches,6,23,Mom's Smoked Ham on White Bread (Combo),Corner Bakery Cafe
510,Sandwiches,8,70,Mom's Roast Beef on Sourdough Bread (Whole),Corner Bakery Cafe
340,Paninis,11,35,Grilled Ham & Swiss (Combo),Corner Bakery Cafe
320,Kid's Meals,12,39,Kids' Scrambler w/Toast & Fresh Fruit,Corner Bakery Cafe
400,Kid's Meals,5,62,Turkey Sandwich on Harvest Bread - LF (Whole),Corner Bakery Cafe
480,Desserts,22,64,Lemon Pound Cake - Slice,Corner Bakery Cafe
390,Desserts,21,45,Whoopee Pie - Chocolate Mocha - V,Corner Bakery Cafe
140,Coffee,7,11,Cappuccino - Whole,Corner Bakery Cafe
510,Coffee,16,95,Truffle Mocha - Whole,Corner Bakery Cafe
320,Coffee,2,63,Caramel Latte - Nonfat,Corner Bakery Cafe
300,Coffee,1,72,Truffle Mocha - Nonfat,Corner Bakery Cafe
210,Coffee,0,29,Chai Latte - Nonfat,Corner Bakery Cafe
520,Drinks,0,136,Old Fashioned Lemonade - VG,Corner Bakery Cafe
220,Breads,7,32,Cinnamon Raisin - V (slice),Corner Bakery Cafe
2070,Breads,61,340,Raisin Pecan Miche - VG (whole),Corner Bakery Cafe
395,Sandwiches,22,37,Poblano Fresco Vegetarian on Poblano Cheese Bread - V,Corner Bakery Cafe
790,Sandwiches,44,73,Poblano Fresco Vegetarian on Poblano Cheese Bread - V,Corner Bakery Cafe
320,Sandwiches,13,33,Mom's Tuna Salad on Harvest Bread (Combo),Corner Bakery Cafe
500,Sandwiches,8,65,Mom's Roasted Chicken on Harvest Bread (Whole),Corner Bakery Cafe
610,Paninis,26,64,California Grille - V (Whole),Corner Bakery Cafe
320,Kid's Meals,14,37,Half Moon Cheese Ravioli - V,Corner Bakery Cafe
190,Kid's Meals,14,10,Cheddar Broccoli,Corner Bakery Cafe
80,Kid's Meals,0,20,Kid's Apple Juice,Corner Bakery Cafe
30,Sides,0,7,"Baby Carrots - LF, VG, G",Corner Bakery Cafe
490,Desserts,19,73,Pumpkin Pound Cake - Slice,Corner Bakery Cafe
440,Desserts,29,38,Whoopee Pie - Peanut Butter - V,Corner Bakery Cafe
190,Coffee,10,15,Cappuccino - Whole,Corner Bakery Cafe
350,Coffee,17,50,Truffle Hot Chocolate w/Whipped Cream - Whole,Corner Bakery Cafe
410,Coffee,2,84,Caramel Latte - Nonfat,Corner Bakery Cafe
400,Coffee,1,98,Truffle Mocha - Nonfat,Corner Bakery Cafe
260,Drinks,0,68,Old Fashioned Lemonade - VG,Corner Bakery Cafe
700,Drinks,0,182,Frozen Mango Lemonade - VG,Corner Bakery Cafe
80,Breads,0,16,Country Boule - VG (slice),Corner Bakery Cafe
1990,Breads,15,393,Steakhouse Rye - VG (whole),Corner Bakery Cafe
5,Sandwiches,0,0,Add Spread - Country Dijon Mustard (Combo),Corner Bakery Cafe
365,Paninis,15,36,Corner Club (Combo),Corner Bakery Cafe
380,Kid's Meals,24,22,Kids' Cheesy Scrambler w/Toast & Bacon,Corner Bakery Cafe
730,Kid's Meals,34,93,Peanut Butter & Jelly Sandwich - V (Whole),Corner Bakery Cafe
580,Desserts,30,70,Chocolate Baby Bundt Cake - V,Corner Bakery Cafe
290,Desserts,10,47,Snickerdoodle Cookie - V,Corner Bakery Cafe
590,Desserts,37,53,Cream Cheese Brownie - V,Corner Bakery Cafe
650,Coffee,17,108,Caramel Latte - Whole,Corner Bakery Cafe
120,Coffee,0,16,Latte - Nonfat,Corner Bakery Cafe
340,Coffee,18,25,Chai Latte - Whole,Corner Bakery Cafe
50,Breads,1,8,Traditional Sesame Baguette - VG (slice),Corner Bakery Cafe
4220,Breads,16,862,Country Large Oblong - VG (whole),Corner Bakery Cafe
410,Breads,5,77,Pretzel Demi - V,Corner Bakery Cafe
500,Sandwiches,25,48,Mom's Egg Salad on White Bread (Whole),Corner Bakery Cafe
370,Paninis,13,36,Green Chile & Chicken (Combo),Corner Bakery Cafe
320,Kid's Meals,19,22,Kids' Scrambler w/Toast & Bacon,Corner Bakery Cafe
320,Kid's Meals,7,43,Turkey Sandwich - LF (Whole),Corner Bakery Cafe
40,Sides,0,11,Grapes - Small Bunch (Kids' Menu) - G,Corner Bakery Cafe
770,Desserts,34,108,Cinnamon Creme Cake - Slice (12 slices/cake) - V,Corner Bakery Cafe
270,Desserts,10,44,White Chocolate Macadamia Nut Cookie,Corner Bakery Cafe
100,Coffee,5,8,Cappuccino - Whole,Corner Bakery Cafe
380,Coffee,12,70,Truffle Mocha - Whole,Corner Bakery Cafe
190,Coffee,0,26,Latte - Nonfat,Corner Bakery Cafe
170,Coffee,0,23,Chai Latte - Nonfat,Corner Bakery Cafe
320,Coffee,6,64,Iced Coffee - Creamy,Corner Bakery Cafe
330,Breads,13,46,Brioche Flatbread (slice),Corner Bakery Cafe
2090,Breads,67,314,Mom's White - V (whole),Corner Bakery Cafe
380,Kid's Meals,17,39,Kids' Cheesy Scrambler w/Toast & Fresh Fruit,Corner Bakery Cafe
810,Kid's Meals,32,112,Peanut Butter & Jelly Sandwich on Harvest Bread - V (Whole),Corner Bakery Cafe
110,Sides,4,16,Garlic Bread (Pasta Entrées Only) - V,Corner Bakery Cafe
760,Desserts,44,84,Chocolate Turtle Baby Bundt Cake - V,Corner Bakery Cafe
290,Desserts,10,47,Sugar Cookie - V,Corner Bakery Cafe
590,Desserts,28,86,Fudge Brownie,Corner Bakery Cafe
270,Coffee,10,46,Truffle Mocha - Whole,Corner Bakery Cafe
160,Coffee,0,22,Latte - Nonfat,Corner Bakery Cafe
125,Coffee,0,17,Chai Latte - Nonfat,Corner Bakery Cafe
640,Coffee,12,128,Iced Coffee - Creamy,Corner Bakery Cafe
180,Breads,1,35,White Rye Oblong - VG (slice),Corner Bakery Cafe
2080,Breads,15,401,Harvest - VG (whole),Corner Bakery Cafe
90,Kid's Meals,0,21,Kid's Berry Juice,Corner Bakery Cafe
150,Sides,9,15,"Bakery Chips - VG, G",Corner Bakery Cafe
240,Desserts,15,23,Apricot Walnut Rugalach - V,Corner Bakery Cafe
400,Desserts,22,45,Whoopee Pie - Pumpkin - V,Corner Bakery Cafe
190,Coffee,10,15,Latte - Whole,Corner Bakery Cafe
480,Coffee,21,75,Truffle Hot Chocolate w/Whipped Cream - Whole,Corner Bakery Cafe
280,Drinks,7,51,Truffle Hot Chocolate w/Whipped Cream - Nonfat,Corner Bakery Cafe
350,Drinks,0,91,Frozen Mango Lemonade - VG,Corner Bakery Cafe
640,Drinks,0,166,Frozen Mango Pomegranate Swirl - VG,Corner Bakery Cafe
110,Breads,0,22,Country Small Oblong - VG (slice),Corner Bakery Cafe
140,Breads,4,23,Raisin Pecan Miche - VG (slice),Corner Bakery Cafe
1610,Breads,30,287,Traditional Sesame Baguette - VG (whole),Corner Bakery Cafe
110,Sides,0,27,Banana - Whole (Kids' Menu) - G,Corner Bakery Cafe
250,Desserts,16,24,Cinnamon Pecan Rugalach - V,Corner Bakery Cafe
430,Desserts,26,43,Whoopee Pie - Vanilla - V,Corner Bakery Cafe
250,Coffee,13,19,Latte - Whole,Corner Bakery Cafe
610,Coffee,24,100,Truffle Hot Chocolate w/Whipped Cream - Whole,Corner Bakery Cafe
390,Drinks,7,78,Truffle Hot Chocolate w/Whipped Cream - Nonfat,Corner Bakery Cafe
320,Drinks,0,83,Frozen Mango Pomegranate Swirl - VG,Corner Bakery Cafe
580,Drinks,0,150,Frozen Pomegranate Lemonade - VG,Corner Bakery Cafe
